well_name,trial,look_back,n_nodes,learning_rate,test_rmse
well_1,0,36,8,0.004910300621417434,436.2247331472939
well_1,1,12,16,0.0013834770106642674,358.6655843355779
well_1,2,24,16,0.00897762061146699,382.68692690359353
well_1,3,24,16,0.15822361505089047,583.0550311844397
well_1,4,24,16,0.0013124268395824296,387.98374968227154
well_1,5,24,16,0.016239516005843155,385.30645056697404
well_1,6,36,16,0.13521627871384687,521.8258801260706
well_1,7,24,8,0.0011685056036130938,509.1642896086538
well_1,8,36,4,0.002039670588252162,401.2361580124894
well_1,9,24,16,0.07329021521118734,516.3174780049538
well_1,10,12,4,0.42842055719925304,477.1592060263308
well_1,11,12,16,0.006439845937679317,1023.3782972244186
well_1,12,12,16,0.020728991196543475,385.5518873196181
well_1,13,12,16,0.004625808173452551,491.63597531937216
well_1,14,12,4,0.009837897465728633,450.4019926891076
well_1,15,24,8,0.048182332318732694,453.8671158818962
well_1,16,12,16,0.002756622979644454,483.13587509432324
well_1,17,24,16,0.03680928057468689,507.4837527363596
well_1,18,12,8,0.010730421513532686,426.75392773308874
well_1,19,36,4,0.0028476709534342027,409.37850005220633
well_1,20,24,16,0.0018832269497121095,429.86567664994067
well_1,21,24,16,0.013071306080182967,426.7690117517913
well_1,22,24,16,0.02225294615807853,393.29500178368215
well_1,23,24,16,0.01537376259237601,502.6503743790752
well_1,24,24,16,0.007456885613551314,485.7015219327855
well_1,25,12,16,0.03225884272872008,427.8389647283766
well_1,26,24,16,0.005026455026018084,412.55990891349927
well_1,27,24,16,0.07858346242852708,583.3326800099514
well_1,28,36,8,0.0033776450505957948,1188.5280188647962
well_1,29,12,4,0.007480336992553782,422.2675440860097
well_2,0,12,16,0.021598523120005528,562.08301033527
well_2,1,12,8,0.011304716394647776,208.1954065277208
well_2,2,36,8,0.16361047251032057,158.321100563427
well_2,3,12,16,0.07416814556129407,263.2347324758593
well_2,4,12,8,0.0015574119199520595,134.74037748893068
well_2,5,12,16,0.3345292268982903,390.41792444843605
well_2,6,36,8,0.008012787156081672,670.2653331642116
well_2,7,24,16,0.0010779497587996344,121.0565541196237
well_2,8,36,8,0.22986602780706147,506.60720629488884
well_2,9,36,4,0.0361352762652119,540.1769892556954
well_2,10,24,4,0.0011227731456985126,244.9455641946209
well_2,11,24,16,0.0011178563663867965,125.26550853947849
well_2,12,24,16,0.0032069953147623414,660.2415519878099
well_2,13,24,16,0.0035067276828527685,259.8885649883953
well_2,14,24,16,0.0026364255028570416,127.82695868741779
well_2,15,24,16,0.007163448896589528,226.6281061431022
well_2,16,24,16,0.002186230171183459,124.19977933357703
well_2,17,24,4,0.004663241614898277,254.09996955599559
well_2,18,24,16,0.0020920941877129616,122.77439572548957
well_2,19,24,16,0.014513130630290687,290.5665510077871
well_2,20,24,4,0.051294283847068564,196.24610112742317
well_2,21,24,16,0.002000300357933956,366.826803256007
well_2,22,24,16,0.004849788515040794,2100.4162400606874
well_2,23,24,16,0.0010048459481997647,260.16316040192845
well_2,24,24,16,0.0019463175677261338,187.14010848873968
well_2,25,24,16,0.0020128361795239413,206.2208551152708
well_2,26,24,16,0.005696780317454214,412.35824227333507
well_2,27,24,16,0.0031012107293861783,122.33036976744091
well_2,28,36,16,0.01034074303625612,212.95343213671845
well_2,29,24,4,0.019271747739236435,312.5849974055723
well_3,0,36,16,0.003386621266711696,389.5172674253459
well_3,1,24,8,0.1333714320433735,452.93248528869174
well_3,2,36,8,0.010726846562746832,422.22297934860734
well_3,3,12,16,0.011219999058082271,276.420838072901
well_3,4,12,4,0.0017609338443984764,373.29110803387454
well_3,5,12,16,0.013715010060735295,280.7600822693824
well_3,6,24,16,0.06668698752544534,425.37939263336307
well_3,7,24,8,0.002693708790282277,395.05823843930204
well_3,8,12,4,0.30718560593743977,514.0232501307653
well_3,9,12,4,0.35741553397408043,516.6952913838268
well_3,10,12,16,0.03533628649308176,790.2440735134998
well_3,11,12,16,0.011401208424933931,301.34521209654474
well_3,12,12,16,0.009639621367333543,312.14611803199097
well_3,13,12,16,0.0237729145308939,415.8434672000401
well_3,14,12,16,0.006028526460885871,276.52375893715356
well_3,15,36,16,0.004840655006192442,299.08598187349594
well_3,16,12,16,0.004775784346152295,302.8379144183297
well_3,17,12,16,0.0012145945360704639,267.012501158353
