well_name,date,production_hours,oil_producing_daily_avg (bbl/day),gas_producing_daily_avg (mcf/day),water_producing_daily_avg (bbl/day)
well_1,1/1/2013,408,16453.41176,5068.647059,1439.235294
well_1,2/1/2013,629,16161.11924,5106.848967,388.7694754
well_1,3/1/2013,743,15883.83311,9696.032301,335.2247645
well_1,4/1/2013,720,12569.13333,10888.63333,119.5
well_1,5/1/2013,696,10410.72414,7586.517241,169.1724138
well_1,6/1/2013,720,8747.033333,8087,60.8
well_1,7/1/2013,744,6366.903226,9079.225806,79.12903226
well_1,8/1/2013,744,6024,8646.354839,105.516129
well_1,9/1/2013,720,5497.3,7686.8,77.56666667
well_1,10/1/2013,744,4266.935484,7233.774194,81.16129032
well_1,11/1/2013,720,4614.633333,6933.4,31.43333333
well_1,12/1/2013,744,3668.387097,5809.806452,18.25806452
well_1,1/1/2014,744,2899.387097,5673.096774,22.32258065
well_1,2/1/2014,672,3254.964286,4855.75,22.46428571
well_1,3/1/2014,744,3181.419355,4682,97.38709677
well_1,4/1/2014,720,1450.833333,2413.166667,222.2333333
well_1,5/1/2014,744,1460.870968,2460.612903,140
well_1,6/1/2014,720,953.9666667,1106.533333,50.33333333
well_1,7/1/2014,744,1588.677419,2312.516129,85.22580645
well_1,8/1/2014,744,1471,2232.774194,93.32258065
well_1,9/1/2014,720,1362.8,1412.566667,79.66666667
well_1,10/1/2014,744,1556.225806,1765.709677,91.29032258
well_1,11/1/2014,720,958.1333333,965.2666667,56.6
well_1,12/1/2014,744,4303.451613,6060.419355,324.6451613
well_1,1/1/2015,744,2737.096774,4420,176.516129
well_1,2/1/2015,672,2933.75,5284.571429,215.6428571
well_1,3/1/2015,744,2142.580645,4921.258065,146.0967742
well_1,4/1/2015,720,2272.733333,5344.266667,169.8333333
well_1,5/1/2015,744,1464.903226,3770.677419,99.41935484
well_1,6/1/2015,720,1796.8,5155.9,140.4666667
well_1,7/1/2015,744,2209.548387,5935.096774,192.7419355
well_1,8/1/2015,744,1777.387097,5445.258065,148.1290323
well_1,9/1/2015,720,1631.166667,5615,144.6666667
well_1,10/1/2015,744,1292.451613,5695.870968,97.38709677
well_1,11/1/2015,720,1241.2,5379.566667,94.33333333
well_1,12/1/2015,744,797.3870968,3269.451613,56.80645161
well_1,1/1/2016,744,1203.193548,5331.354839,93.32258065
well_1,2/1/2016,696,943.4827586,4018.551724,71.5862069
well_1,3/1/2016,744,1067.225806,4351.645161,81.16129032
well_1,4/1/2016,720,815.5666667,3613.833333,77.56666667
